review_content,sentiment
you feel i should recharge it now otherwise i will have to survive on without bluetooth calling feature.but overall i would like to say it is a good deal in this price.,neutral
you can't have google app services and play store,neutral
you cant expect it to crease out the cotton shirts but it is a very handy product,positive
you cannot steam more garments.also,neutral
you can use it as coffee,positive
you can use if you wish to have black coffee or filter coffee. you cant make coffee using milk.,positive
you can use android & iso devices.,positive
you can use 1/4' connector if needed.@ it has very long cable which measures upto 20 feet,positive
you can simply go for it. strongly recommended.,positive
you can simply go for it. strongly recommended.,positive
you can set many macros you can revamp the keys and also change the dpi values. these features usually come in expensive gamming mouses,positive
you can remove alot of lint at a particular time without cleaning it.this lint remover has just saved my time and efforts.happy to use it . you will receive extra blade,positive
you can make an arrangement to hang the clothes on a wall hanger and remove lint by keeping your neck straight.other than that it is a good product and can be tried.thanks,positive
you can literally feel the space opening up. all the instruments feel individual and sound separated. fireflies (by owl city) sounds lovely and all the strings sway in the centre while the various zaps and buzzes surround you. it's really great for the price!  1.2 treble and mids: clean and clear. the bass doesn't overpower them and feels just right. the vocals come out clearly and all the instruments don't interfere with it (drive home by steven wilson sounds great!).  1.3 bass: punchy and tight. i love how it fizzles in 'bonfire' (by knife party) and how it reverberates in 'turn down for what' (by dj snake). 'breakin' a sweat'(by skrillex,positive
you can go for this one. also tried dual feature i.e. charging power bank & at same time charging phone and it works well no problem. did not face any problem with power bank heating issue while charging phone or itself. type c charging port for power bank is good so you don't have to carry two different cables and type a usb cables are hard to find.few cons what i felt after using1. charging cable provided along is of no use,positive
you can feel it but it's not adequate and gets muddles out if the volume raised. pls make use of your eq app (poweramp equaliser app,neutral
you can explore recordings from sd card. but you can not download.for download in mobile you have to subscribe imou protect plan,positive
you can expect a lot of misunderstanding on how everything works together in a home security camera in general.initial setup: it is a breeze for some,positive
you can easily transfer files between two android phones,positive
you can drive and charge simultaneously. type c is good and the other pin is very hard to insert but workable.,positive
you can drive and charge simultaneously. type c is good and the other pin is very hard to insert but workable.,positive
you can definitely get this product i am using it very roughly but there is no problem at all works fine,positive
you can charge your iphone easy.,positive
you can carry it with you anywhere.... there is no need to worry about space. you can makea list make a note and absolutely you can re-use it.,positive
you can buy this rs 99 + shipping charge from flipkart,positive
you can buy it,neutral
you can buy but don't go for printing,positive
you can buy a good product.,positive
you can always trust amazon basics. got it yesterday and the quality and feel is good.,positive
you can also buy it's plastic varients both are same in speeds.also plastic heat less,positive
yet to use it but looks quite classy and sturdy. design is nice and base is detachable for easy cleaning.,positive
yet this mouse still survives.even the rubberised grips are still there. go for it without any hesitation.for those having button issues,positive
yet mouse constantly shows lag and skips during movement.,positive
yet another good product from philips,positive
yes the product is very useful and serve the purpose for what it is.,neutral
yes it's very nice,positive
yes it's very nice,positive
yes it's very nice,positive
yes it's very good product,positive
yes it's a great product for me! it charges my samsung galaxy j8 which has a usb port with the new samsung 25w charger which has a type c port! but be careful as it charges at 15w. it does the job pretty well but it's made in china whereas the samsung charger is made in india,positive
yes good product,positive
yes bass is also best,positive
yes,positive
yes,positive
yes,neutral
yes,neutral
yes,positive
yes,positive
yes,positive
yeh product bhi acha or iske price bhi kam h.i like it,neutral
yeap this cable support 65w fast charging tested on my 65w brick of realme 7 pro..cable and pins quality looks good.since i couldnt find original cable for 65w charger of realme i was searching for long time for a good one...,positive
yeap this cable support 65w fast charging tested on my 65w brick of realme 7 pro..cable and pins quality looks good.since i couldnt find original cable for 65w charger of realme i was searching for long time for a good one...,positive
yeap this cable support 65w fast charging tested on my 65w brick of realme 7 pro..cable and pins quality looks good.since i couldnt find original cable for 65w charger of realme i was searching for long time for a good one...,positive
yeah here is the honest review.... looking good..quality is okay... not an defective product... but i'm not satisfied with the phone holder... it is too straight,positive
ye small h isliye portable to h but designer clothes me mushkil hoti h. simple sewing k liye achhi h agar apke pass badi machine na ho aur budget b kam ho.,neutral
ya satisfactory work. speed okay,positive
ya i love it this for easy to use and clean very useful when u want to chop a juicy tomato or leafy veggi and also size also quite good for smaller family,positive
ya an amazing fit for my alexa and very easy to place anywhere on any socket.,positive
y,neutral
wrong advertisement. only 11 fins for a 13 fin oil heater.,positive
writing this review after a month of use.works absolutely fine,positive
writing this review after 2 weeks.,neutral
writing this after using it for two months --pros -1. noiseless button2. soft press3. lightweight4. good build quality5. non-eraseable button sign6. easy battery installation7. good support range8. all button work properly9. all 104 buttons are available10. low battery indicator (the indicator does not glow when you install the new battery. it glows only when the battery is low.)cons -1. no num-lock light2. no caps-lock light3. no scroll-lock light,positive
writing review after using more than month. product really helps during winter season / when you feel cold.adjustment for heat temp based on power watts available.there is a regulator available to adjust fan speed but it won't work by design. it works as like on / off  function,positive
writing review after one month usage. very good quality and worth the money. no issue till date. go for it,positive
writing  review after 1.5 month use overall good but it become little slow when we install apps rest everything is fine. i liked it and i think you also love it if your budget is in this range.,positive
writing  review after 1.5 month use overall good but it become little slow when we install apps rest everything is fine. i liked it and i think you also love it if your budget is in this range.,positive
writes smoothly,positive
write speed is 60-70 at normal with a minimal level of 65 and peaks at 156..in mobileupdatethe disappointing thing is reed speed... i got upto 90 mbps read and it won't goes beyond 90mbps but write speed sometimes peaks at 120 mbps... i got this memory card only for the purpose of read speed not for writing speed..because i won't use this in any action camera or dslr... only for mobile which needs atleast 150 mbps for smooth performance.....i am totally disappointed for my purpose but satisfied.. according to price..so my conclusion if you are looking for a memory card for 4k/8k recording you can surely go for it..i case of u are purchasing on seeing it's read speed and also for mobile it wouldn't be a better option...,positive
wouldn't say great but okay for the price tag. overall good for work purposes.,positive
wouldn't look like a movie quality which we are used to of watching in the likes of sony,positive
wouldn't look like a movie quality which we are used to of watching in the likes of sony,positive
would repurchase,positive
would recommend to purchase a branded product than a non branded product,positive
would recommend,positive
would recommend,positive
would recommend,positive
would recommend,positive
would recommend,positive
would recommend,positive
would recommend,positive
would recommend,positive
would recommend,positive
would have liked the product to be in the company box sealed. i'm not sure why that is not possible these days. it seems to be a common trend to ship in a separate pack. why can't we have company box pack?,positive
would be my very next order if apple cable is too expensive,positive
wotks fina and removes everything easily.a must buy product for winter.,positive
worthy product at this lowest price,neutral
worthable product,neutral
worth using since 1.5 years,positive
worth using since 1.5 years,positive
worth using since 1.5 years,positive
worth using since 1.5 years,positive
worth to buy ..sound is also good,positive
worth to buy,neutral
worth to buy,positive
worth the price.,positive
worth the price,positive
worth the price,positive
worth the price,positive
worth the penny:used for 2 days,positive
worth the money..very nice product and very sturdy!,positive
worth the money as its a fun experience to use instant cam!product is original with good packaging!,positive
worth the money,neutral
worth the money,positive
worth product at this price,positive
worth product,positive
worth product,positive
worth product,neutral
worth of buying,positive
worth monitor this price,positive
worth itsame as original,positive
worth its value,neutral
worth it.,positive
worth it,positive
worth it,positive
worth it,positive
worth for the price,positive
worth for the moneysuitable for hard use,positive
worth for the money but the knob is slippery,neutral
worth for the money,positive
worth for price.. it's two layered. the outer black looks shiny and inside steel is bit delicate but over all its good product.. 2l and it's auto off feature is working perfect.,positive
worth for money.. but it's light weight so only for setop box stabilizers other over weights can't carry,neutral
worth for money. excellent performance.,positive
worth for money.,positive
worth for money product.,positive
worth for money but built quality improved required in inner thread to plastic mould place,positive
worth for money and easy to use,positive
worth for money and best for home use. screen size also good and eye protection is best,positive
worth for money - suitable for android auto... my purpose served in car....got it for rs.150,positive
worth for money - suitable for android auto... my purpose served in car....got it for rs.150,positive
worth for money - suitable for android auto... my purpose served in car....got it for rs.150,positive
worth for money - suitable for android auto... my purpose served in car....got it for rs.150,positive
worth for money,positive
worth for money,positive
worth for money,positive
worth for money,positive
worth for buying this speaker. sound quality is good and loud. weightless easy to carry. good battery backup. it's coming for more than 4hours. not tested properly but having good battery backup for sure. don't expect bass. having little bit but don't expect more. i'm writing this review after 5 days of usage.,neutral
worth every penny compared to the cost. a basic bluetooth band that support only single device at a time. call voice us clear,neutral
worth buying.,positive
worth buying this cable,positive
worth buying this cable,positive
worth buying prodect,positive
worth buying for eggetarians,positive
worth a buy,positive
worth,neutral
worst product,positive
worst cable. not working even after replacement. dont buy guys manufactured in china.,positive
works with my casio ct-x700 well,positive
works with my casio ct-x700 well,positive
works well. will comment on durability after using it for a few months.,neutral
works well. the heating concern mentioned by prior reviewers is apt however don't a damper for a purchase at this price. it's a decent product in the affordable category. the floor attachment particularly works very well. it is light weight and so cleaning lower end of ceiling fans was easy. the suction power when using sofa attachment is quite good in cleaning dust stuck in stitching corners. overall,neutral
works well. sturdy built and good quality. only worry is not made in india :(,positive
works well. just as described. looks great and easy to installhowever the tank is really small,positive
works well. good design. it's heavy.you can't work for 1 min continuously. you should stop and use. else it's heating up too much.,positive
works well.,neutral
works well with playstation 3,neutral
works well with my tatasky. re durable,neutral
works well on my 4k amazone fire tv stick as well as 2nd generation fire tv stick.if your original remote is got damaged. buy this one. but price is a bit high. should have been available for rs. 800/-,positive
works well for my basic usage.the keys travel is smooth and fine,positive
works well and bluetooth connectivity is also good.,positive
works well and bluetooth connectivity is also good.,positive
works well,positive
works well,positive
works well,positive
works well,positive
works well,positive
works very well with s20 fe 5g. thumbs up.,positive
works very well with s20 fe 5g. thumbs up.,positive
works very well with s20 fe 5g. thumbs up.,positive
works very well with airtel dth. the pairing is as same as every airtel dth remote. all the buttons works properly.,neutral
works very well and its still going great even after 3 months of use ! it supports pd and it has a solid build quality,positive
works the purpose of otg for samsung galaxy a7 tab,positive
works smooth,positive
works really well,positive
works perfectly with the airtel hd set up box (not suitable for airtel xtream). would generally be apprehensive before buying a remote online but this worked perfectly.,neutral
works perfectly on samsung s22 plus. i often use it for video editing too. but i think it's overpriced. i got it for rs. 389 including delivery charges. it should cost max upto 250. 2 stars have been cut for overpricing.,neutral
works perfectly on samsung s22 plus. i often use it for video editing too. but i think it's overpriced. i got it for rs. 389 including delivery charges. it should cost max upto 250. 2 stars have been cut for overpricing.,neutral
works perfectly on samsung s22 plus. i often use it for video editing too. but i think it's overpriced. i got it for rs. 389 including delivery charges. it should cost max upto 250. 2 stars have been cut for overpricing.,neutral
works perfectly fine.,positive
works perfect for connecting my dslr to ipad & tethering. seems like a durable cable.,positive
works great no problem so far.the build could have been slightly better,positive
works great,positive
works good. wire is also not very  short,positive
works good for me in himachal. consumes electricity but u getsilenceno dry eyescomfortable environmentbuy it if u value ur comfort n silence.otherwise take any other blower which will dry ur eyes n throat and create a sound,positive
works good,positive
works for charging but other applications are hit or miss.example my external keyboard doesn't work with it!,positive
works for charging but other applications are hit or miss.example my external keyboard doesn't work with it!,positive
works fine...will update if the dash charging stops working too quick.,positive
works fine. no issues.,positive
works fine. no issues so far.,positive
works fine with my sony bravia tv.,neutral
works fine issue with delivery product bit damaged,neutral
works fine even after 4 months as of now going good,positive
works fine,positive
works fine,positive
works fine,positive
works excellent with sony bravia tv,positive
works as said. browns bread evenly. pop up works fine. the cord is too short. have to keep the toaster on an inverted vessel to reach the plug point,positive
works as intended and mostly as description.but here are things that couldimproved.the upper lid should be able to open up a bit more to the back if we want to wash it more thoroughly since having lid not open in a way that it goes  a bit back enough for the lid to not feel a bit in the way its not as comfortable as it could be (this shouldnt become a point which should make ppl avoid buying it though since many other models seem to open up till the same angle as this one does unless you found one that opens up more than this one,positive
works as intended,neutral
works as expected. length of the cable is short and it was mentioned also satisfied my requirement. if you need more length better look other options.,positive
works as expected. length of the cable is short and it was mentioned also satisfied my requirement. if you need more length better look other options.,positive
works as expected. length of the cable is short and it was mentioned also satisfied my requirement. if you need more length better look other options.,positive
works as expected. length of the cable is short and it was mentioned also satisfied my requirement. if you need more length better look other options.,positive
works as expected.,neutral
works as described,neutral
works,neutral
works,positive
working.,neutral
working without any issues from purchased,positive
working with any types of usb either c-type or micro.temperature always normal with 2.4amp ranges .,neutral
working with any types of usb either c-type or micro.temperature always normal with 2.4amp ranges .,neutral
working well.. worth buying..,positive
working well with iphone11.,positive
working well now.,positive
working well for my camera external flash. i took almost 50 photo with various flash power,positive
working well for about 1 year. everything okay,positive
working well for about 1 year. everything okay,positive
working well and fast charing as claimed. pice is at highside. good item.,positive
working well and fast charing as claimed. pice is at highside. good item.,positive
working well,neutral
working well,neutral
working well,neutral
working well,neutral
working well,neutral
working very well without giving any problem,positive
working very nice.,positive
working very nice ok,neutral
working so good & also speed is very fast... satisfying product!,positive
working perfect great... product,positive
working great so far!value for money!4 stars as wire is very short in length!,positive
working good. water is boiling within 2 min. steel finishing is normal and not shining.,neutral
working good till now,positive
working good so far,positive
working good but need to do some improvement,positive
working good and small design as i wanted.,positive
working good also not so expensive,positive
working good also not so expensive,positive
working good,neutral
working good,neutral
working good,positive
working good,neutral
working good,neutral
working fine with airtel dth but the quality is cheap,neutral
working fine till date,neutral
working fine so far,neutral
working fine but the seller should pack it more carefully as i received the upper detachable part in a broken condition as it is  non replaceable makes it more difficult for the customer,positive
working fine as expected,neutral
working fine,positive
working fine,neutral
working fine,neutral
working fine,positive
working fine,positive
working fine,positive
working fine,neutral
working fine,positive
working fine,positive
working fine,positive
working fine,positive
working fine,positive
working fine,neutral
working easy and using also easy.favourable and believable product and company,neutral
working as it should be. no issues with reception and latency.,positive
working as intended. have used it to gring chicken and vegetables. so far working well. gripping it while it's on is a little dicey otherwise good product,positive
working as expected.,neutral
working as expected,positive
working as described but too early to comment .,positive
working,neutral
worked well for six months thats it,positive
worked well for six months thats it,positive
worked well for six months thats it,positive
worked so well..you can go for it,positive
worked seamlessly with our sujata mixex (powermatic,positive
worked on iphone 7 and didnt work on iphone xr,positive
worked on iphone 7 and didnt work on iphone xr,positive
worked on iphone 7 and didnt work on iphone xr,positive
worked on iphone 7 and didnt work on iphone xr,positive
worked on iphone 7 and didnt work on iphone xr,positive
worked on iphone 7 and didnt work on iphone xr,positive
worked on iphone 7 and didnt work on iphone xr,positive
worked on iphone 7 and didnt work on iphone xr,positive
worked on iphone 7 and didnt work on iphone xr,positive
worked on iphone 7 and didnt work on iphone xr,positive
worked fine...,positive
worked fine,neutral
worked fine,neutral
work perfectly and amazingly.must buy for cloth lint,positive
work nahi kar raha sahi karwane ke liye call nomber dijiye,positive
woollens and any fabric which is otherwise non iron-able. of course,positive
wont cure cancer its simple cable nothing much to expect,neutral
wonderful scale,positive
wonderful product...easy to use....go for it,neutral
wonderful product to use. but have some negative . reviews about durability.easy handling. easy charging. but getting repaired frequently . its only one year after purchasing but the suction power was lessened twice by the time.,positive
wonderful design and also its accurate. i would highly recommend this product for your kitchen.,positive
wonderful and compact speakers for desktop setup. it completed my gaming setup as my monitor dont have in built speaker was in search of good speakers. these are good in terms of gaming,positive
without this limitation it could be really amazing product to buy.,positive
without this limitation it could be really amazing product to buy.,positive
without thinking just go for it,positive
without power plug deliverednever expected.,neutral
without any doubt the best purchase i've ever made.if you have polyester,positive
within 1 day they delivered me new one without any cost.great product  good service.,positive
within 1 day they delivered me new one without any cost.great product  good service.,positive
within 1 day they delivered me new one without any cost.great product  good service.,positive
within 1 day they delivered me new one without any cost.great product  good service.,positive
with usb connector,positive
with the money... gives clean water.,neutral
with steam flow for crisp ironing.,positive
with my old cable,positive
with insufficent bass.longer version:i have had the 200 for years and many have asked me to order it for them. it is an excellent tiny satisfying package. the midrange,positive
with great bass and sound enhancement..problems :1.charging cable is so poor in quality2.charging port could not be connected easily due to loose connection of ports some times a little shake will dis-connect the charger.3.charge percentage is not shown anywhere.other than this little audio lag issue when video's are played but it doesn't happen all time.advantages :best solid bodysound quality is litbest to watch movies with high quality audio.thanks for this best product zebronicsplease resolve this little issues in this product,neutral
"with fewer keys - i feel i should highlight the disadvantages i can see immediately (especially for users of full-size keyboards at work - refer image)1. while my hands will get used to closer keys - they also seem much less """"springy"""" (lower). overall size is also too small to place on one's lap and type",positive
with extra length,positive
with extra length,positive
with extra length,positive
with extra length,positive
with extra length,positive
with extra length,positive
with extra length,positive
with a little fear,positive
with 10w sound is low.,neutral
wish apple made this product as it is easier to hold the phone while charging,positive
wish apple made this product as it is easier to hold the phone while charging,positive
wire size too small,neutral
wire lenth and cord lenth are enoughsuper easy to use but packing shi se ki hui nhi hoti4 star for good product but removed 1 star for bad packing,positive
wire length is very small,positive
wire is very best quality but cost not worth for it,positive
wire can be a bit soft..it is very hard to get it fold,positive
wire can be a bit soft..it is very hard to get it fold,positive
wire can be a bit soft..it is very hard to get it fold,positive
wire can be a bit soft..it is very hard to get it fold,positive
wind size improve,neutral
will write off after using 15 days.,positive
will update after few months of usage about the colour fading/scratches.,positive
will start catching available networks right after you plug it into your usb port,positive
will start catching available networks right after you plug it into your usb port,positive
will start catching available networks right after you plug it into your usb port,positive
will share detailed review once use it for atleast a week.,positive
will share detailed review once use it for atleast a week.,positive
will share detailed review once use it for atleast a week.,positive
will let you know after 30 days.,positive
will deliver speed in range 7** to 9** mbps on mbp as thunderbolt 4 will only function as 10gbps (usb 3.1) mode instead of 20gbps (usb 3.2),positive
wifi networks very quickly and easily.6. the overall sign up process and app installations are quick and automatic.7. it supports all the smart features like netflix,positive
wifi networks very quickly and easily.6. the overall sign up process and app installations are quick and automatic.7. it supports all the smart features like netflix,positive
wifi networks very quickly and easily.6. the overall sign up process and app installations are quick and automatic.7. it supports all the smart features like netflix,positive
wifi kept getting disconnected and almost every app was giving trouble,neutral
wifi connectivity is getting lost frequently. (at every 30 to 45 minutes). we have to re-connect to wifi.all other specs : good for price.jio cinema : not working (even 3rd party app is also not working)startup time : comparatively high.display : superb !!sound : not so good.best if you gonna buy soundbar with woofer!,positive
wifi ability to connect with the printer is not very good,neutral
why go for cheap chinese ones.,positive
why being so thrifty. most switch boards are at about 5 ft height. cord does not support this height. as said can be a great product.,positive
whose v-sign is placed at the same price and definitely did not have any quality compromise whatsoever. anyway,positive
who can handle only these basic variety types. she is very happy and loves the color.,neutral
while the online storage as mentioned in the details of 7 days rollover in india is missing.,positive
while running time slightly shaking . we don't no why .. but it's fixed properly,positive
while running on low speed,positive
while it makes enough froth under 1.5mins (tested using amul taaza milk warmed at 50-60deg celcius),neutral
while in hi-res,positive
while in hi-res,positive
while i am digging my code with mouse,positive
while connection to tv,neutral
which will protect your kept inside stuffs even if heavy things got loaded on it. size is big. surface area is great. two ear leads with small stuff like pendrive or ear buds can be there,positive
which we uses on tv like netflix,neutral
which was literally torn with visible brown cardboard insides. yikes!,positive
which was defective11. they told me i will have to contact samsung customer case number again if i want a product replacement as they don't have the authority for that.10. called customer care number again,neutral
which other brand uis have not or only with screen off)> stand-by battery life has improved substantially.disappointers:> brightness at lowest level is brighter than before.> no improvement in sound levels. still initial 40% is too silent.> no dolby atomos (which was mentioned for oos 13). perhaps,positive
which other brand uis have not or only with screen off)> stand-by battery life has improved substantially.disappointers:> brightness at lowest level is brighter than before.> no improvement in sound levels. still initial 40% is too silent.> no dolby atomos (which was mentioned for oos 13). perhaps,positive
which other brand uis have not or only with screen off)> stand-by battery life has improved substantially.disappointers:> brightness at lowest level is brighter than before.> no improvement in sound levels. still initial 40% is too silent.> no dolby atomos (which was mentioned for oos 13). perhaps,positive
which one do you need?~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~before my review,neutral
which may differ from mine. i am an old-fashioned mechanical engineer with a basic understanding of parameters like millimetres,positive
which may differ from mine. i am an old-fashioned mechanical engineer with a basic understanding of parameters like millimetres,positive
which may differ from mine. i am an old-fashioned mechanical engineer with a basic understanding of parameters like millimetres,positive
which makes transferring files a breeze.overall,positive
which makes it anti slip on flat surfaces and feels sturdy in your hand.here are few pros and cons u should know before buying. proslight weight and easy to assemble.very good for small devices.stability is superb.comes with bluetooth remote.quality of rubber and plastic is great conssize is quite small,neutral
which is not hygienic. haven't used the cleaning solution,positive
which is not at all strong.,neutral
which is irritating.,positive
which is great for office work since you want it to focus on face rather than the rest of the background. however there is a slight tinge of sepia (warm temperature) in the picture quality/ hence reduced 1 star. really cost effective!,neutral
which is expensive.without internet it is useless.i think all above points covered to take decision for go with imou ranger 2.overall works as expected.,positive
which is difficult to reach in most housing situations.,positive
which is an added advantage. in general,neutral
which i received as a gift from somewhere,positive
which i never received. i even tried rating but thanks to the amazon ios app even that was not possible coz there was no scroll bar on the rating tab. i do not know whether i would receive any support or not but this was a pathetic experience and i had never expected this from amazon. it would be an end for this 8+ years old bond with amazon if i would not receive any support on this.i will update this if i receive some help!issue fixed after struggling 4 days. but ram is great!,positive
which i always faced in original mi cable from box. bought 1 more time as last cable damaged when phone fell on usb cable port as my phone is heavy and i never faced any issues so i bought one more time and didn't went for replacement as its waste of time and energy,positive
which i always faced in original mi cable from box. bought 1 more time as last cable damaged when phone fell on usb cable port as my phone is heavy and i never faced any issues so i bought one more time and didn't went for replacement as its waste of time and energy,positive
which doesn't need any sound card and can be plugged and used directly even with smartphones.* has 3.5mm jack connector built in,positive
which consumes a lot of electricity.,positive
whereas this responsed to my samsung tab of rs.25000 (without any aid of computer or pc)  flawlessly. shame on apple!,positive
whereas left one keeps going,neutral
where we can avoid using laptop keyboard ..keyboard requires aaa battery and mouse require aa battery.. it could have maintained same.. need to check battery life of keyboard.mouse doesn't come with on off button to save battery life.,neutral
where it refused to detect my mouse.at home,positive
where it refused to detect my mouse.at home,positive
where it charged 3 phones.  i had 1 fast charger compatible samsung phone (m30),positive
where is pipes ????? it's with gyser as described,positive
where can i buy dustbag for eureka forbes rapid clean 1150 watts powerful suction vacuum cleaner ?,neutral
when you use its okay product.,positive
when you cant find the original remote to buy this can be handy.,neutral
when you are representing some product from a well known brand you must provide that well known build quality.this product is designed well to grab the good looks but not the quality of the material,neutral
when water gets evaporated totally,positive
when using a regular cable,neutral
when using a regular cable,neutral
when tcl is giving its own channel,positive
when she was away). the colours are smooth and bright,positive
when ironing,neutral
when i say android tv few buyers wouldn't be able to grasp it . it has unofficial build of android 9 so basically you can install all android tv apk and apps . for play store you can install aptoide manually and it can install all bunch of tv apps for your afterwards.since it's unofficial build,neutral
when i purchased this watch,positive
when i open the box and unlock the erase button and try to erase things...but that time it not erasing...but after some time when i press it again and again then it erases miracles but this lcd screen fell scratches quickly if you do not take care of it.,positive
when i decided to buy this,neutral
when i decided to buy this,neutral
when i bought it worked really well. light weight and portable makes it convenient to use. initially it was a great product. not sure what happened after few months,neutral
when everyone was cracking crackers the pm level went up in the purifier indicating increase in air pollutants,positive
when connecting this headset the csr software recognized aptx. is there a difference in sbc/aptx? i cant really tell in audio quality but the connection is more stable. also,positive
when checked came to know the product had only one month's warranty,neutral
when auto close system doesn't work than there is no use of this product. please do the needful and next time whenever you send it please check the product. otherwise you will loose your dignity.,positive
when a particular product is aimed towards students or education suddenly corporations go out of their way to milk money and under deliver as much as possible. it is exactly opposite to how students are given access to technology in the usa. you watch the prices of chromebooks,positive
wheels are very good so u can take it wherever you want. electric cable is long.,neutral
what's not to love about this all-new 55 inch amazon fire tv?unboxingthe whole experience from delivery to commissioning was completely seamless;  the packaging is strong and very sturdy,neutral
what is the logic of tape sealing the top flap when the cartridge can be taken out and replaced back through the unsealed bottom flap of the product carton? in contrast the carton of the pure it cartridge is sealed both at the top and the bottom.tata swach should correct this anomaly.,positive
what i would like to advise all of you out there is,neutral
what i received is 2200 wat cook top. working fine. and temperature settings make it easier to cook faster. indian menu is useful.,positive
what i observe in few days to use with this kent hand blender that is very sleek design and well built with steel body and there is some issues with this. it is become very hot in 15 minute of continuous run that hot u can't even touch that and there push button you have to continuous press button to run.,positive
what an amazing product. was quite sceptical before buying it after reading all these mixed reviews but glad i did.smoothens out the creases from dresses,positive
we've been using it for 2 years and there's no issues yet. we have carried along with us for travelling as i have a small baby. and u need to boil water every now and then. i not only use it for boiling water. we make tea/coffee,positive
we're helpless.3.delete button print gone in a day4.easily get scratch,positive
were a different story,positive
well packaged and the product works great,positive
well over all iits nice,neutral
well known brand ..nice product.,positive
well known brand ..nice product.,positive
well it is easy to use and less noisy. it comes with 750w of motor. so it provides more energy and grind in less time.,neutral
well i had a notion that cheap bt headphones could not produce good sound.. well i was wrong.. n im glad .. i use iem,positive
well go for it good cable,positive
well go for it good cable,positive
well built and the buttons have a smooth positive feel to the action.  the kettle heats efficiently and does exactly what it was designed to do,positive
well,positive
well,positive
weightless and easy to carrycharging power is good not supar fast but ok types,positive
weighs accurate but the scale i got has detective display. first 2 digits looks clear and then next digits are not clearly visible. i am returning this item and amazon accepted my return request.,positive
weak packaging,positive
weak of body,neutral
we will think about the right one. before purchasing i was visit many local shop and also search many brands here but finally i choose this one,positive
we will be charged. filter is not free of charge during the free services.,neutral
we vacuum-sealed ground beef,neutral
we used this for sandwich making and it performed well. the plates for grill and waffle making are readily interchangeable. the cord length is adequate although slightly longer cord would have been great.the device is readily portable because of its size and weight. overall very useful.!,positive
we ordered this product after many research and reccomendation,positive
we need to wait and watch on usage.print quality was good,neutral
we managed to get it all ready.,neutral
we like this product it is just amazing,positive
we have used this product so far for boiling potatoes on the top lid using the steam coming from bottom container. potatoes were boiled properly. what we liked most about this product - easy to use,positive
we have to select hdmi option from input menu to select tata sky which one is plugged in.2 dosent allow us to command/choose volume up or down from set-top box remote (mine tata sky)we have use tv remove to change the volume setting.other than that great tv,positive
we have to select hdmi option from input menu to select tata sky which one is plugged in.2 dosent allow us to command/choose volume up or down from set-top box remote (mine tata sky)we have use tv remove to change the volume setting.other than that great tv,positive
we have to press power button on remote each time to start this tv.overall a very good product.,positive
we have been using this mixer for few months and it works wonders. i have been using the dry grinder jar for grinding turmeric,positive
we have an expensive samsung tv.tv is great but original remote started draining battery and we had to put in new battery every 5 days which was not ideal.replacing with original remote is a costly affair ( 4k ?)this is a good cheap replacement- has all the functionalities except voice (which we rarely use),neutral
we had to return it.,positive
